MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,FrstFlrSF,BsmtFinSF2_Flag,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,RemodAdd,BuiltYear1,BuiltYear2,BuiltYear3,BuiltYear4,BuiltYear5,BsmtFTM_Flag,GasA_Flag,HasGrg,HasPool,SalePrice
20,4,70.0,105.83005244258362,1,1,1,1,1,1,1,1.0,5,5,1965,1965,2,1,2,1,3,3,2,3,3,1,5,30.099833886584822,0,11.575836902790225,32.2490309931942,5,1,5,32.2490309931942,1,0,1,0,3,1,3,5,1,0,0,2,1,1,19.595917942265423,3,3,0.0,0.0,0,0,0,2,2008,1,1,6.946975992135418,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,11.771436160121729
60,4,85.0,109.19706955774959,1,2,1,1,1,1,1,2.0,9,5,2005,2006,2,1,8,3,5,3,1,5,3,1,2,31.591137997862628,0,13.30413469565007,34.27827300200522,5,1,5,48.2078831727758,1,0,3,0,4,1,5,11,1,2,4,3,3,3,27.129319932501073,3,3,12.12435565298214,4.58257569495584,0,0,0,7,2006,2,2,7.074963197966044,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,12.751299696013497
20,4,69.0,113.87712676389407,1,3,1,1,1,1,1,1.0,5,6,1962,1962,2,1,2,1,3,3,2,3,3,1,3,27.147743920996454,0,13.228756555322953,30.199337741083,3,1,5,30.199337741083,1,0,1,0,2,1,3,4,1,0,0,2,1,1,18.76166303929372,3,3,11.832159566199232,0.0,0,0,0,9,2008,1,1,6.815639990074331,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,11.877568578558138
20,4,91.0,103.20852677952534,1,2,1,1,1,1,1,1.0,7,5,2006,2007,1,1,1,3,4,3,1,4,3,3,1,0.0,0,38.65229618017538,38.65229618017538,5,1,5,38.65229618017538,0,0,2,0,3,1,4,7,1,1,4,1,2,3,28.982753492378876,3,3,12.649110640673518,5.744562646538029,0,0,0,8,2007,2,2,7.309212365692763,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,12.540757571577291
20,4,69.0,104.49880382090505,1,2,1,2,1,1,1,1.0,6,5,1960,1960,2,1,3,2,3,3,2,3,3,1,4,27.073972741361768,0,22.80350850198276,35.397740040855716,3,1,5,35.397740040855716,1,0,1,1,2,1,3,5,1,1,2,1,2,1,18.76166303929372,3,3,0.0,14.594519519326424,4,0,0,5,2008,1,1,7.133295954896068,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,11.964001084330445
45,2,51.0,78.23042886243178,1,1,1,2,1,1,1,1.5,7,8,1929,2001,1,1,4,1,3,3,3,3,3,1,1,0.0,0,28.844410203711913,28.844410203711913,5,1,4,29.223278392404914,0,0,1,0,2,1,3,5,1,0,0,2,1,2,24.0,3,3,6.928203230275509,10.583005244258363,2,0,0,7,2007,1,1,6.74993119378857,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,11.790557201568507
20,4,69.0,106.02358228243375,1,2,1,3,1,1,1,1.0,6,7,1970,1970,1,1,4,2,3,3,2,3,3,1,3,24.041630560342615,0,20.639767440550294,31.68595903550972,5,1,5,31.68595903550972,1,0,1,0,2,1,3,5,1,1,3,1,3,2,21.908902300206645,3,3,0.0,0.0,0,2,700,3,2010,1,1,6.911747300251674,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,11.911701584927597
90,4,72.0,103.87973815908471,1,1,1,1,1,1,3,1.0,4,5,1967,1967,1,1,3,1,3,3,4,0,0,0,0,0.0,0,0.0,0.0,3,1,5,36.0,0,0,2,0,2,2,3,6,1,0,0,4,1,2,22.715633383201094,3,3,0.0,0.0,0,2,500,10,2006,1,1,7.16703787691222,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,11.407564949312402
20,4,66.0,117.0256382165891,1,1,1,1,6,1,1,1.0,5,5,2004,2004,1,1,1,1,3,3,1,3,3,1,2,25.41653005427767,0,21.633307652783937,33.37663853655727,5,1,5,33.37663853655727,1,0,1,1,3,1,4,6,1,0,0,2,1,2,24.0,3,3,0.0,10.099504938362077,0,0,0,6,2008,1,1,7.01571242048723,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,11.976659481202368
20,4,70.0,86.94826047713663,1,1,1,1,1,1,1,1.0,5,6,1958,1965,2,1,7,1,3,3,2,3,3,1,5,22.44994432064365,0,22.9128784747792,32.07802986469088,3,1,5,36.59234892706397,0,0,1,0,3,1,3,6,2,0,0,1,1,1,17.146428199482248,3,3,0.0,0.0,1,0,0,5,2009,3,3,7.199678345691172,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,11.842229212112828
60,4,101.0,119.22667486766541,1,2,1,2,1,1,1,2.0,8,5,2005,2006,1,1,1,2,4,3,1,5,3,3,1,0.0,0,34.02939905434711,34.02939905434711,5,1,5,48.744230427815765,0,0,3,1,4,1,4,9,1,1,4,3,2,3,29.206163733020468,3,3,15.491933384829668,12.409673645990857,0,0,0,11,2006,2,2,7.05444965813294,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,12.692503112461443
45,2,57.0,86.3075894692929,1,1,2,1,1,1,1,1.5,7,7,1930,1950,1,1,4,1,3,3,1,3,3,1,1,0.0,0,25.238858928247925,25.238858928247925,5,1,3,33.28663395418648,0,0,1,0,3,1,4,6,1,1,4,1,1,1,16.73320053068151,3,1,0.0,0.0,2,0,0,6,2007,1,1,7.010311867307229,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,11.845102777308561
20,4,75.0,98.70157040290697,1,1,1,1,1,1,1,1.0,8,5,2002,2002,2,1,1,2,4,3,1,4,3,1,1,0.0,0,42.15447781671598,42.15447781671598,5,1,5,42.36744032862972,0,0,2,0,3,1,4,7,1,1,4,1,2,2,23.108440016582687,3,3,13.076696830622021,12.609520212918492,0,0,0,9,2008,1,1,7.492760300922379,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,12.345834587905333
120,2,44.0,64.99230723708769,1,1,1,1,1,1,4,1.0,5,7,1976,1976,1,1,6,1,3,3,1,4,3,1,2,28.982753492378876,0,14.142135623730951,32.2490309931942,3,1,5,32.55764119219941,1,0,1,0,3,1,3,6,1,1,3,1,1,2,23.916521486202797,3,3,10.0,10.488088481701515,0,0,0,6,2007,1,1,6.966024187106113,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,11.77452020265869
20,4,69.0,90.80748867797193,1,2,1,1,1,1,1,1.0,5,8,1968,2001,1,1,5,1,3,4,2,3,3,2,5,13.711309200802088,668,14.2828568570857,32.55764119219941,5,1,5,32.55764119219941,1,0,1,0,3,1,4,6,1,1,3,1,1,1,16.431676725154983,3,3,20.149441679609886,9.486832980505138,1,0,0,5,2010,1,1,6.966024187106113,25.84569596664017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,11.944707881395766
20,4,110.0,119.2895636675732,1,1,1,2,1,1,1,1.0,8,5,2007,2007,1,1,1,3,4,3,1,4,3,1,1,0.0,0,39.57271787481876,39.57271787481876,5,1,5,40.0,0,0,2,0,3,1,4,7,1,1,4,1,2,3,29.832867780352597,3,3,0.0,7.483314773547883,0,0,0,7,2009,1,1,7.3777589082278725,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,12.454103912352162
20,4,60.0,84.8528137423857,1,1,1,2,1,1,1,1.0,5,7,1951,2000,1,1,4,1,3,3,2,3,3,2,4,15.297058540778355,486,13.416407864998739,30.0,3,1,5,30.0,0,1,1,0,3,1,4,5,1,0,0,2,1,2,24.0,3,3,14.89966442575134,5.656854249492381,0,0,0,5,2010,1,1,6.802394763324311,22.045407685048602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,11.811547477460344
20,4,98.0,107.1354283138869,1,1,1,1,1,1,1,1.0,8,5,2007,2008,1,1,1,3,4,3,1,5,3,1,2,34.899856733230294,0,22.045407685048602,41.27953488110059,5,1,5,41.27953488110059,1,0,2,0,3,1,4,7,1,1,4,1,2,3,27.784887978899608,3,3,0.0,7.0710678118654755,0,0,0,5,2010,1,1,7.440733707389261,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,12.631340380934517
20,4,47.0,127.75366922323602,1,2,1,3,1,1,1,1.0,5,6,1957,1997,1,1,3,1,3,3,2,3,3,4,4,35.73513677041127,0,14.38749456993816,38.52272056851645,3,1,5,40.0,1,0,1,0,2,1,3,6,1,2,4,1,2,1,17.86057109949175,3,3,16.97056274847714,16.06237840420901,0,0,0,12,2006,1,1,7.3777589082278725,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,12.24288661865289
30,2,60.0,79.52358140828417,1,2,1,1,2,8,1,1.0,4,6,1927,1950,1,1,3,1,3,3,3,3,3,1,1,0.0,0,22.80350850198276,22.80350850198276,2,0,5,22.80350850198276,0,0,1,0,1,1,2,4,1,0,0,2,1,1,15.491933384829668,3,3,7.0,0.0,0,0,0,5,2008,1,1,6.253828811575473,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,11.134589024250317
70,1,50.0,92.19544457292888,1,1,1,1,2,1,1,2.0,4,4,1920,1950,4,1,7,1,3,2,3,3,3,1,1,0.0,0,25.475478405713993,25.475478405713993,3,0,5,36.29049462324811,0,0,1,0,3,1,3,6,1,0,0,2,1,1,15.811388300841896,2,1,0.0,7.3484692283495345,1,0,0,7,2008,1,1,6.47543271670409,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,10.596634733096073
20,4,69.0,92.43376006633075,1,2,1,3,1,1,1,1.0,5,6,1966,2006,1,1,2,1,3,3,2,3,3,1,1,0.0,0,35.04283093587046,35.04283093587046,4,1,5,35.04283093587046,0,0,1,1,3,1,4,6,1,0,0,1,1,1,16.46207763315433,3,3,0.0,8.06225774829855,1,0,0,6,2008,1,1,7.113142108707088,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,11.914047823644255
20,4,85.0,105.11422358558332,1,1,1,2,1,1,1,1.0,8,5,2007,2007,1,1,1,1,4,3,1,5,3,3,1,0.0,0,35.12833614050059,35.12833614050059,5,1,5,35.12833614050059,0,0,2,0,3,1,4,7,1,0,0,1,2,2,22.0,3,3,0.0,5.477225575051661,0,0,0,1,2008,1,1,7.1180162044653335,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,12.100156419938624
20,4,70.0,102.72292830717006,1,2,1,1,1,1,1,1.0,5,5,1959,1959,2,1,7,1,3,3,2,3,3,1,5,31.906112267087632,0,19.493588689617926,37.389838191679836,4,1,5,41.23105625617661,0,1,1,1,4,1,4,6,1,1,4,1,2,2,21.142374511865974,3,3,0.0,6.164414002968976,0,0,0,4,2010,1,1,7.438383530044307,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,12.016726473799254
120,4,60.0,85.51608035919327,1,1,1,1,1,1,4,1.0,9,5,2005,2005,2,1,3,2,5,3,1,5,3,1,2,33.95585369269929,0,20.199009876724155,39.50949253027682,5,1,5,39.50949253027682,1,0,2,0,2,1,5,6,1,1,4,1,3,2,23.57965224510319,3,3,14.247806848775006,6.855654600401044,0,0,0,8,2007,1,1,7.353081920515432,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,12.533576212168626
60,4,108.0,115.83609109426992,1,1,1,1,1,1,1,2.0,8,5,2004,2005,1,1,1,3,4,3,1,5,3,3,1,0.0,0,33.421549934136806,33.421549934136806,5,1,5,49.51767361255979,0,0,3,1,4,1,4,9,1,1,4,3,3,3,26.28687885618983,3,3,10.63014581273465,5.656854249492381,0,0,0,9,2006,1,1,7.0317412587631285,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,12.641096555879882
20,4,112.0,104.20652570736632,1,1,1,2,1,1,1,1.0,5,5,1994,1995,1,1,1,1,3,3,1,4,3,1,1,0.0,0,33.12099032335839,33.12099032335839,5,1,5,33.12099032335839,0,0,1,1,3,1,3,6,1,0,0,1,1,2,25.92296279363144,3,3,19.79898987322333,8.0,0,0,0,6,2009,1,1,7.00033446027523,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,11.884489021402711
20,4,74.0,92.36882591004391,1,1,1,1,1,1,1,1.0,5,6,1954,1990,2,1,4,2,3,3,2,3,3,1,5,34.828149534535996,0,9.16515138991168,36.013886210738214,4,1,5,36.013886210738214,0,1,1,0,3,1,3,5,1,1,3,1,3,2,22.315913604421397,3,3,0.0,0.0,0,0,0,10,2009,1,1,7.167809184316444,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,11.938193200374572
20,4,68.0,89.00561780022652,1,1,1,1,1,1,1,1.0,5,7,1953,2007,1,1,1,1,3,4,2,3,3,1,2,27.03701166919155,0,18.05547008526779,32.51153641401772,3,1,5,32.51153641401772,1,0,1,0,3,1,4,5,1,0,0,2,1,1,15.684387141358123,3,3,0.0,7.211102550927978,0,0,0,1,2010,1,3,6.963189985870238,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,11.59910316121128
90,4,65.0,77.7174369109018,1,1,1,1,1,1,3,1.0,4,5,1955,1955,1,1,10,1,3,3,1,0,0,0,0,0.0,0,0.0,0.0,3,0,2,33.94112549695428,0,0,2,0,2,2,2,6,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0,0,0,6,2008,1,6,7.049254841255837,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11.314474526246391
20,4,84.0,93.04837451562494,1,1,1,1,1,1,1,1.0,6,5,1965,1965,1,1,4,2,3,3,2,3,3,1,5,25.357444666211933,0,21.095023109728988,32.984845004941285,5,1,5,36.38681079732051,0,0,2,0,3,1,3,6,1,1,3,1,2,2,20.97617696340303,3,3,0.0,11.74734012447073,4,0,0,12,2006,1,3,7.188412736496954,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,11.982929094215963
20,4,115.0,130.01922934704697,1,1,1,1,1,1,1,1.0,5,6,1959,1959,1,1,1,1,3,4,2,3,3,4,4,31.096623610932426,0,19.570385790780925,36.742346141747674,4,1,5,36.4417343165772,0,1,1,1,2,1,3,5,1,2,4,1,2,1,17.549928774784245,3,2,0.0,10.198039027185569,0,0,0,7,2007,1,1,7.191429330036379,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,12.043553716032399
85,4,69.0,95.81231653602788,1,2,1,3,1,1,1,3.0,5,7,1983,1983,1,1,2,1,3,3,2,4,3,3,3,27.331300737432898,93,0.0,28.982753492378876,4,1,5,29.732137494637012,1,0,1,0,2,1,4,5,1,0,0,1,2,2,22.44994432064365,4,3,15.491933384829668,0.0,1,0,0,12,2007,1,1,6.784457062637643,9.643650760992955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,11.877568578558138
20,4,69.0,95.91663046625439,1,2,1,3,1,1,1,1.0,5,6,1975,1980,2,1,1,1,3,3,2,4,3,3,5,16.73320053068151,491,12.922847983320086,30.62678566222711,3,1,5,30.62678566222711,1,0,1,0,3,1,3,5,1,0,0,2,1,1,17.549928774784245,3,3,12.041594578792296,0.0,1,0,0,7,2008,1,1,6.843749949006225,22.15851980616034,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,11.777210959615614
20,4,70.0,89.13472948295743,1,1,1,1,1,1,1,1.0,5,6,1959,1959,1,1,7,1,3,3,2,3,3,1,3,13.379088160259652,506,21.563858652847824,33.91164991562634,5,1,4,33.91164991562634,1,0,1,0,3,1,3,6,1,0,0,1,2,1,17.320508075688775,3,3,0.0,0.0,0,0,0,5,2006,1,1,7.047517221357296,22.494443758403985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,11.856515169360305
